# XLAMB2	YLAMB2
312526.200	2432372.200
312517.100	2432416.700
312448.700	2432444.400
312375.800	2432450.300
312339.600	2432463.100
312283.100	2432476.700
312217.800	2432464.000
312190.500	2432512.900
312202.100	2432571.100
312195.800	2432643.500
312204.800	2432681.600
312188.900	2432776.400
312170.100	2432839.300
312118.800	2432900.900
312113.100	2432915.300
312093.900	2432963.900
312050.900	2433025.200
312013.200	2433060.200
311988.900	2433064.800
311928.800	2433100.400
311861.800	2433100.000
311803.300	2433115.400
311751.900	2433088.500
311657.300	2433040.500
311179.900	2433253.600
311093.900	2433237.500
311091.800	2433166.500
311095.700	2433156.300
311032.500	2433143.900
310775.300	2433277.000
310665.800	2433096.200
310473.100	2433104.700
310337.400	2433361.500
310272.900	2433383.200
310227.900	2433368.200
310173.300	2433379.400
310117.800	2433348.600
310052.000	2433396.400
309989.100	2433397.800
310004.200	2433433.700
309951.600	2433447.000
309928.400	2433490.000
309971.100	2433577.500
310002.400	2433610.800
310100.600	2433640.700
310122.300	2433698.500
310178.600	2433759.400
310219.800	2433784.600
310383.100	2433819.000
310436.900	2433781.500
310553.600	2433821.100
310581.200	2433825.300
310598.500	2433828.200
310694.300	2433900.000
310699.800	2433904.000
310757.800	2433952.900
310875.900	2434044.700
310969.800	2434070.700
311110.800	2434025.100
311163.600	2434028.000
311241.100	2434118.600
311361.200	2434296.700
311466.000	2434409.200
311528.000	2434475.800
311536.900	2434482.200
311581.700	2434514.800
311618.700	2434616.500
311758.600	2434931.000
312231.400	2435556.600
312578.900	2436714.600
313135.200	2439180.200
313349.000	2439889.000
313579.300	2441842.200
313927.900	2443766.000
314691.400	2444546.500
314097.300	2445315.000
314067.100	2446585.000
314541.100	2448204.100
314338.400	2449717.900
314701.900	2451605.300
314966.300	2452302.200
314923.100	2452830.700
314273.700	2452677.000
313699.900	2452378.100
313687.500	2451994.000
313193.300	2452279.000
312336.100	2454402.100
311835.400	2458817.700
311621.000	2461197.100
311985.100	2464781.900
313034.400	2467291.900
